;;02211-ДБ;;;02221-ДБ;;;02241-ДБ;;;02261-ДБ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ПОНЕДЕЛЬНИК ;08.30-10.00 ;"лек. Дисциплина по выбору ""Пакеты компьютерной математи";Ильин Борис Петрович, ст.преподаватель;ком.к.122;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна,ст. преподаватель;стадион;лек. Математический анализ;Гражданцева Елена Юрьевна, доцент;226;лек. Математический анализ;Гражданцева Елена Юрьевна, доцент;226;08.30-10.00 ;ПОНЕДЕЛЬНИК ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10.10-11.40 ;"лаб. Дисциплина по выбору ""Пакеты компьютерной математи";Ильин Борис Петрович, ст.преподаватель;ком.к.122;"лаб. Дисциплина по выбору ""Пакеты компьютерной математи";Ильин Борис Петрович, ст.преподаватель;ком.к.122;лаб. Вычислительные системы и компьютерные сети;Петухин Вячеслав Алексеевич, доцент;ком.к.123б;пр. Мультимедийные технологии;Казимиров Алексей Сергеевич, доцент;ком.кл.121;10.10-11.40 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11.50-13.20 ;"лаб. Дисциплина по выбору ""Языки и системы программиров";Михайлов Андрей Анатольевич, преподаватель;ком.к.123б;"лаб. Дисциплина по выбору ""Языки и системы программиров";Михайлов Андрей Анатольевич, преподаватель;ком.к.123б;"лаб. Дисциплина по выбору ""Пакеты компьютерной математики""";Ильин Борис Петрович, ст.преподаватель;ком.к.122;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна,ст. преподаватель;спорт.зал;11.50-13.20 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13.50-15.20 ;"лек. Дисциплина по выбору ""Языки и системы программиров";Михайлов Андрей Анатольевич, преподаватель;ком.к.123б;пр. Иностранный язык 1 подгруппа;Петрова Наталья Васильевна, профессор;222;;;;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна,ст. преподаватель;спорт.зал;13.50-15.20 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;15.30-17.00 ;;;;пр. Иностранный язык 1 подгруппа;Петрова Наталья Васильевна, профессор;222;;;;;;;15.30-17.00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ВТОРНИК     ;08.30-10.00 ;;;;лек. Линейное программирование;Погодаев Николай Ильич, ст.преподаватель;219;лек. Базы данных;Федоров Роман  Константинович, доцент;318;лек. Базы данных;Федоров Роман  Константинович, доцент;318;08.30-10.00 ;ВТОРНИК     ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10.10-11.40 ;пр. Математическая логика;Каташевцев Михаил Дмитриевич, ст. преподаватель;319;пр. Линейное программирование;Погодаев Николай Ильич, ст.преподаватель;ком.кл.123б;пр. Математический анализ;Гражданцева Елена Юрьевна, доцент;226;лаб. Базы данных;Федоров Роман  Константинович, доцент;ком.к.122;10.10-11.40 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11.50-13.20 ;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна,ст. преподаватель;спорт.зал;лаб. Вычислительные системы и компьютерные сети;Петухин Вячеслав Алексеевич, доцент;ком.к.123а;лаб. Базы данных;Федоров Роман  Константинович, доцент;ком.к.122;пр. Математический анализ;Гражданцева Елена Юрьевна, доцент;226;11.50-13.20 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13.50-15.20 ;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна,ст. преподаватель;спорт.зал;лек. Вычислительные системы и компьютерные сети;Петухин Вячеслав Алексеевич, доцент;316;лек. Вычислительные системы и компьютерные сети;Казимиров Алексей Сергеевич, доцент;318;лаб. Пакеты компьютерной математики;Ильин Борис Петрович, ст.преподаватель;ком.к.122;13.50-15.20 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
