;;Р А С П И С А Н И Е учебных занятий ИМЭИ для студентов 1-го курса осеннего семестра 2016/2017 уч. года;;;;;;;УТВЕРЖДАЮ;;;;;;;;;;;;
;;;;;;;;;Проректор по учебной работе А.И. Вокин;;;;;;;;;;;;
;;;;;;;;;"""____"" _______________ 2016 г.";;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Дни;Часы;"Направление ""Математика""";;;"Направление ""Прикладная математика и информатика""";;;"Направление ""Прикладная математика и информатика""";;;"Направление ""Математическое обеспечение и администрирование информационных систем""";;;"Направление ""Прикладная информатика""";;;"Направление ""Фундаментальная информатика и информационные технологии""";;;Часы;Дни
;;02111-ДБ;;;02121-ДБ;;;02122-ДБ;;;02141-ДБ;;;02161-ДБ;;;02171-ДБ;;;;
ПОНЕДЕЛЬНИК ;08.30-10.00 ;;;;"лаб. Дисциплина по выбору ""Олимпиадные задачи по программированию""";Зубков Олег Владимирович, доцент;ком.к.123а;"лаб. Дисциплина по выбору ""Олимпиадные задачи по программированию""";Зубков Олег Владимирович, доцент;ком.к.123а;пр. Геометрия;Осипенко Лариса Анатольевна, доцент;322;;;;;;;08.30-10.00 ;ПОНЕДЕЛЬНИК 
;;;;;"пр. Дисциплина по выбору ""Олимпиадные задачи по программированию""";;;"пр. Дисциплина по выбору ""Олимпиадные задачи по программированию""";;;;;;;;;;;;;
;10.10-11.40 ;"лек. Дисциплина по выбору ""Олимпиадные задачи по программированию""";Кириченко Константин Дмитриевич, доцент;ком.к.123а;"лек. Дисциплина по выбору ""Олимпиадные задачи по программированию""";Зубков Олег Владимирович, доцент;ком.к.123а;"лек. Дисциплина по выбору ""Олимпиадные задачи по программированию""";Зубков Олег Владимирович, доцент;ком.к.123а;пр. Геометрия;Осипенко Лариса Анатольевна, доцент;322;пр. Математический анализ;Гражданцева Елена Юрьевна, доцент;226;лек. Математический анализ;Рудых Геннадий Алексеевич, профессор;320;10.10-11.40 ;
;;;;;;;;;;;;;;;;;;;;;
;11.50-13.20 ;"лаб. Дисциплина по выбору ""Олимпиадные задачи по программированию""";Зубков Олег Владимирович, доцент;ком.к.123а;лек. Информатика и программирование;Петухин Вячеслав Алексеевич, доцент;318;лек. Информатика и программирование;Петухин Вячеслав Алексеевич, доцент;318;пр.  Элективные курсы по физической культуре;Бонько Татьяна Ивановна, ст. преподаватель;спорт. зал;пр. Математический анализ;Гражданцева Елена Юрьевна, доцент;226;пр. Геометрия;Осипенко Лариса Анатольевна, доцент;322;11.50-13.20 ;
;13.50-15.20 ;"лек. Дисциплина по выбору ""Олимпиадные задачи по математике""";Кузнецов Павел Александрович, старший преподаватель;319;;;;;;;;;;;;;пр. Геометрия;Осипенко Лариса Анатольевна, доцент;322;13.50-15.20 ;
;;;;;"лек. Дисциплина по выбору ""Олимпиадные задачи по математике""";Орлов Сергей Сергеевич, доцент;319;"лек. Дисциплина по выбору ""Олимпиадные задачи по математике""";Орлов Сергей Сергеевич, доцент;319;;;;;;;;;;;
;15.30-17.00 ;"лаб. Дисциплина по выбору ""Олимпиадные задачи по математике""";Кузнецов Павел Александрович, старший преподаватель;319;;;;;;;;;;;;;;;;15.30-17.00 ;
ВТОРНИК     ;08.30-10.00 ;пр. Математический анализ;Кузнецов Павел Александрович, старший преподаватель;320;;;;;;;;;;пр. Иностранный язык;Лашина Елена Борисовна, ст.преподаватель;327;;;;08.30-10.00 ;ВТОРНИК     
;10.10-11.40 ;пр. Алгебра;Захарченко Варвара Сергеевна, доцент;222;;;;;;;пр. Иностранный язык ;Лашина Елена Борисовна, ст.преподаватель;327;лек. Алгебра;Пантелеев Владимир Иннокентьевич, профессор;320;пр. Математический анализ;Рудых Геннадий Алексеевич, профессор;201;10.10-11.40 ;
;11.50-13.20 ;пр. Иностранный язык;Байдаева Надежда Леонидовна, ст.преподаватель;319;пр. Математический анализ;Орлов Сергей Сергеевич, доцент;322;пр. Линейная алгебра;Захарченко Варвара Сергеевна, доцент;222;пр. Иностранный язык ;Лашина Елена Борисовна, ст.преподаватель;327;пр. Алгебра;Пантелеев Владимир Иннокентьевич, профессор;320;пр. Математический анализ;Рудых Геннадий Алексеевич, профессор;201;11.50-13.20 ;
;;;;;;;;;;;;;;;;;;;;;
;13.50-15.20 ;пр. Иностранный язык;Байдаева Надежда Леонидовна, ст.преподаватель;319;пр. Линейная алгебра;Захарченко Варвара Сергеевна, доцент;222;пр. Математический анализ;Орлов Сергей Сергеевич, доцент;322;;;;;;;лаб. Практикум по программированию;Ульянов Владимир Сергеевич, доцент;ком.к.123б;13.50-15.20 ;
;15.30-17.00 ;;;;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна, ст. преподаватель;спорт. зал;пр. Иностранный язык;Петрова Наталья Васильевна, профессор;316;;;;;;;пр. Алгебра;Захарченко Варвара Сергеевна, доцент;222;15.30-17.00 ;
;17.10-18.40;;;;;;;пр. Иностранный язык;Петрова Наталья Васильевна, профессор;316;;;;;;;;;;17.10-18.40;
